10:39:11 | INFO     | Logger baslatildi -> logs/dt_20260601_103911.log
10:39:12 | INFO     | [A_baseline] Run 1: PNR=88s | Bat@PNR=%53.1 | Kriter: [OK]
10:39:12 | INFO     | [A_baseline] Run 2: PNR=88s | Bat@PNR=%53.1 | Kriter: [OK]
10:39:12 | INFO     | [A_baseline] Run 3: PNR=88s | Bat@PNR=%53.1 | Kriter: [OK]
10:39:12 | INFO     | [B_dynamic_mass] Run 1: PNR=256s | Bat@PNR=%28.4 | Kriter: [OK]
10:39:12 | INFO     | [B_dynamic_mass] Run 2: PNR=256s | Bat@PNR=%28.4 | Kriter: [OK]
10:39:12 | INFO     | [B_dynamic_mass] Run 3: PNR=256s | Bat@PNR=%28.4 | Kriter: [OK]
10:39:12 | INFO     | [C_wind_3] Run 1: PNR=86s | Bat@PNR=%53.0 | Kriter: [OK]
10:39:12 | INFO     | [C_wind_3] Run 2: PNR=86s | Bat@PNR=%53.0 | Kriter: [OK]
10:39:12 | INFO     | [C_wind_3] Run 3: PNR=86s | Bat@PNR=%53.0 | Kriter: [OK]
10:39:12 | INFO     | [C_wind_7] Run 1: PNR=80s | Bat@PNR=%52.7 | Kriter: [OK]
10:39:12 | INFO     | [C_wind_7] Run 2: PNR=80s | Bat@PNR=%52.7 | Kriter: [OK]
10:39:12 | INFO     | [C_wind_7] Run 3: PNR=80s | Bat@PNR=%52.7 | Kriter: [OK]
10:39:12 | INFO     | [C_wind_12] Run 1: PNR=67s | Bat@PNR=%52.5 | Kriter: [OK]
10:39:12 | INFO     | [C_wind_12] Run 2: PNR=67s | Bat@PNR=%52.5 | Kriter: [OK]
10:39:12 | INFO     | [C_wind_12] Run 3: PNR=67s | Bat@PNR=%52.5 | Kriter: [OK]
10:39:12 | INFO     | [D_real_3] Run 1: PNR=237s | Bat@PNR=%29.8 | Kriter: [OK]
10:39:12 | INFO     | [D_real_3] Run 2: PNR=237s | Bat@PNR=%29.8 | Kriter: [OK]
10:39:12 | INFO     | [D_real_3] Run 3: PNR=237s | Bat@PNR=%29.8 | Kriter: [OK]
10:39:12 | INFO     | [D_real_7] Run 1: PNR=186s | Bat@PNR=%34.9 | Kriter: [OK]
10:39:12 | INFO     | [D_real_7] Run 2: PNR=186s | Bat@PNR=%34.9 | Kriter: [OK]
10:39:12 | INFO     | [D_real_7] Run 3: PNR=186s | Bat@PNR=%34.9 | Kriter: [OK]
10:39:12 | INFO     | [D_real_12] Run 1: PNR=104s | Bat@PNR=%47.9 | Kriter: [OK]
10:39:12 | INFO     | [D_real_12] Run 2: PNR=104s | Bat@PNR=%47.9 | Kriter: [OK]
10:39:12 | INFO     | [D_real_12] Run 3: PNR=104s | Bat@PNR=%47.9 | Kriter: [OK]
10:39:12 | INFO     | [E_pnr_accuracy_3] Run 1: PNR=237s | Bat@PNR=%29.8 | Kriter: [OK]
10:39:12 | INFO     | [E_pnr_accuracy_7] Run 1: PNR=186s | Bat@PNR=%34.9 | Kriter: [OK]
10:39:12 | INFO     | [E_pnr_accuracy_12] Run 1: PNR=104s | Bat@PNR=%47.9 | Kriter: [OK]
10:39:12 | INFO     | [F_soh_yeni] Run 1: PNR=237s | Bat@PNR=%29.8 | Kriter: [OK]
10:39:12 | INFO     | [F_soh_orta] Run 1: PNR=189s | Bat@PNR=%29.8 | Kriter: [OK]
10:39:12 | INFO     | [F_soh_yasli] Run 1: PNR=160s | Bat@PNR=%29.9 | Kriter: [OK]
