t,v_wind,bat_pct,e_kalan,e_pnr,mass,i_est,v_term,pnr
0.0,3.0,99.46,9.4487,0.118,2500.0,14.663,10.948,0
1.0,3.0,98.92,9.3979,0.1169,2483.3,14.521,10.965,0
2.0,3.0,98.39,9.3475,0.1158,2466.6,14.38,10.982,0
3.0,3.0,97.87,9.2977,0.1719,2449.9,14.24,10.998,0
4.0,3.0,97.35,9.2483,0.227,2433.2,14.099,11.013,0
5.0,3.0,96.84,9.1995,0.2809,2416.5,13.959,11.027,0
6.0,3.0,96.33,9.1511,0.3338,2399.8,13.82,11.04,0
7.0,3.0,95.82,9.1032,0.3855,2383.1,13.681,11.053,0
8.0,3.0,95.32,9.0558,0.4361,2366.4,13.543,11.066,0
9.0,3.0,94.83,9.0089,0.4856,2349.7,13.405,11.077,0
10.0,3.0,94.34,8.9625,0.534,2333.0,13.268,11.088,0
11.0,3.0,93.86,8.9165,0.5814,2316.3,13.131,11.099,0
12.0,3.0,93.38,8.871,0.6276,2299.6,12.995,11.109,0
13.0,3.0,92.91,8.826,0.6728,2282.9,12.859,11.119,0
14.0,3.0,92.44,8.7815,0.717,2266.2,12.723,11.128,0
15.0,3.0,91.97,8.7374,0.76,2249.5,12.588,11.137,0
16.0,3.0,91.51,8.6938,0.802,2232.8,12.454,11.146,0
17.0,3.0,91.06,8.6507,0.843,2216.1,12.32,11.154,0
18.0,3.0,90.61,8.6081,0.8829,2199.4,12.187,11.162,0
19.0,3.0,90.17,8.5659,0.9218,2182.7,12.054,11.17,0
20.0,3.0,89.73,8.5242,0.9597,2166.0,11.921,11.177,0
21.0,3.0,89.29,8.4829,0.9965,2149.3,11.79,11.184,0
22.0,3.0,88.86,8.4421,1.0323,2132.6,11.658,11.191,0
23.0,3.0,88.44,8.4017,1.0672,2115.9,11.527,11.198,0
24.0,3.0,88.02,8.3619,1.101,2099.2,11.397,11.205,0
25.0,3.0,87.6,8.3224,1.1338,2082.5,11.267,11.211,0
26.0,3.0,87.19,8.2834,1.1656,2065.8,11.138,11.217,0
27.0,3.0,86.79,8.2449,1.1964,2049.1,11.009,11.223,0
28.0,3.0,86.39,8.2068,1.2263,2032.4,10.881,11.229,0
29.0,3.0,85.99,8.1692,1.2552,2015.7,10.753,11.235,0
30.0,3.0,85.6,8.132,1.2831,1999.0,10.626,11.24,0
31.0,3.0,85.21,8.0952,1.3101,1982.3,10.499,11.246,0
32.0,3.0,84.83,8.0589,1.3361,1965.6,10.373,11.251,0
33.0,3.0,84.45,8.0231,1.3612,1948.9,10.248,11.257,0
34.0,3.0,84.08,7.9876,1.3853,1932.2,10.123,11.262,0
35.0,3.0,83.71,7.9526,1.4085,1915.5,9.998,11.267,0
36.0,3.0,83.35,7.9181,1.4308,1898.8,9.874,11.273,0
37.0,3.0,82.99,7.884,1.4521,1882.1,9.751,11.278,0
38.0,3.0,82.63,7.8503,1.4726,1865.4,9.628,11.283,0
39.0,3.0,82.28,7.817,1.4921,1848.7,9.506,11.288,0
40.0,3.0,81.94,7.7841,1.5108,1832.0,9.384,11.293,0
41.0,3.0,81.6,7.7517,1.5286,1815.3,9.263,11.298,0
42.0,3.0,81.26,7.7197,1.5454,1798.6,9.142,11.303,0
43.0,3.0,80.93,7.6882,1.5614,1781.9,9.022,11.308,0
44.0,3.0,80.6,7.657,1.5766,1765.2,8.902,11.313,0
45.0,3.0,80.28,7.6263,1.5909,1748.5,8.783,11.318,0
46.0,3.0,79.96,7.5959,1.6043,1731.8,8.665,11.323,0
47.0,3.0,79.64,7.566,1.6169,1715.1,8.547,11.328,0
48.0,3.0,79.33,7.5365,1.6286,1698.4,8.43,11.333,0
49.0,3.0,79.03,7.5074,1.6395,1681.7,8.313,11.338,0
