t,v_wind,bat_pct,e_kalan,e_pnr,mass,i_est,v_term,pnr
0.0,4.93,99.44,9.4471,0.1217,2500.0,15.117,10.891,0
1.0,5.23,98.89,9.3944,0.1213,2483.3,15.064,10.898,0
2.0,5.57,98.33,9.3418,0.121,2466.6,15.031,10.901,0
3.0,6.28,97.78,9.2888,0.1828,2449.9,15.139,10.885,0
4.0,6.17,97.23,9.2364,0.2408,2433.2,14.957,10.905,0
5.0,5.78,96.68,9.185,0.2954,2416.5,14.68,10.937,0
6.0,6.98,96.13,9.1326,0.3621,2399.8,14.995,10.893,0
7.0,6.96,95.59,9.0806,0.4183,2383.1,14.845,10.907,0
8.0,7.24,95.04,9.0287,0.4775,2366.4,14.829,10.904,0
9.0,7.66,94.49,8.9766,0.539,2349.7,14.878,10.892,0
10.0,7.94,93.94,8.9246,0.5989,2333.0,14.879,10.885,0
11.0,8.62,93.39,8.8717,0.6682,2316.3,15.091,10.851,0
12.0,8.56,92.84,8.8195,0.7208,2299.6,14.923,10.864,0
13.0,8.47,92.29,8.7679,0.771,2282.9,14.735,10.88,0
14.0,8.19,91.76,8.7173,0.8148,2266.2,14.459,10.905,0
15.0,8.19,91.23,8.6672,0.8646,2249.5,14.321,10.914,0
16.0,8.93,90.7,8.6162,0.9391,2232.8,14.583,10.872,0
17.0,9.55,90.15,8.5643,1.0136,2216.1,14.814,10.833,0
18.0,8.97,89.62,8.5141,1.039,2199.4,14.341,10.881,0
19.0,8.93,89.1,8.4645,1.0849,2182.7,14.187,10.89,0
20.0,9.27,88.57,8.4146,1.1468,2166.0,14.246,10.872,0
21.0,8.26,88.08,8.3671,1.1461,2149.3,13.559,10.946,0
22.0,8.79,87.57,8.3192,1.2142,2132.6,13.713,10.916,0
23.0,9.13,87.06,8.2709,1.2752,2115.9,13.775,10.897,0
24.0,9.24,86.56,8.223,1.3241,2099.2,13.707,10.894,0
25.0,8.58,86.07,8.1768,1.3284,2082.5,13.202,10.945,0
26.0,8.75,85.59,8.1307,1.3781,2065.8,13.169,10.937,0
27.0,8.53,85.11,8.0854,1.4043,2049.1,12.922,10.956,0
28.0,8.63,84.64,8.0405,1.4475,2032.4,12.844,10.954,0
29.0,7.49,84.19,7.998,1.4179,2015.7,12.148,11.027,0
30.0,8.11,83.74,7.9549,1.4877,1999.0,12.32,10.995,0
31.0,6.84,83.31,7.9142,1.4493,1982.3,11.616,11.068,0
32.0,6.04,82.9,7.8751,1.4405,1965.6,11.184,11.109,0
33.0,6.79,82.48,7.8354,1.5065,1948.9,11.342,11.08,0
34.0,6.36,82.07,7.7967,1.5121,1932.2,11.049,11.104,0
35.0,6.97,81.66,7.7576,1.5732,1915.5,11.167,11.079,0
36.0,6.57,81.26,7.7195,1.5767,1898.8,10.882,11.102,0
37.0,5.32,80.88,7.6834,1.5373,1882.1,10.323,11.158,0
38.0,6.05,80.49,7.6468,1.5971,1865.4,10.442,11.134,0
39.0,4.81,80.13,7.6121,1.5582,1848.7,9.926,11.184,0
40.0,4.96,79.76,7.5776,1.5852,1832.0,9.846,11.184,0
41.0,4.54,79.41,7.544,1.5857,1815.3,9.609,11.202,0
42.0,4.43,79.06,7.5109,1.5992,1798.6,9.46,11.209,0
43.0,4.48,78.72,7.4782,1.6184,1781.9,9.351,11.213,0
44.0,4.08,78.38,7.4462,1.6175,1765.2,9.133,11.229,0
45.0,3.64,78.05,7.415,1.6144,1748.5,8.913,11.245,0
46.0,3.51,77.73,7.3843,1.623,1731.8,8.766,11.253,0
47.0,3.15,77.41,7.3543,1.6222,1715.1,8.575,11.266,0
48.0,2.34,77.11,7.3252,1.6066,1698.4,8.316,11.287,0
49.0,2.04,76.81,7.2967,1.6084,1681.7,8.155,11.297,0
50.0,1.94,76.51,7.2686,1.6147,1665.0,8.024,11.304,0
51.0,2.21,76.22,7.2408,1.6315,1648.3,7.948,11.305,0
52.0,1.64,75.93,7.2136,1.6227,1631.6,7.753,11.319,0
53.0,2.76,75.65,7.1863,1.6657,1614.9,7.808,11.305,0
54.0,1.03,75.37,7.1602,1.62,1598.2,7.453,11.337,0
55.0,0.76,75.1,7.1346,1.6188,1581.5,7.313,11.346,0
56.0,1.58,74.83,7.1091,1.6435,1564.8,7.292,11.341,0
57.0,1.82,74.57,7.0839,1.6544,1548.1,7.211,11.343,0
58.0,1.3,74.31,7.0592,1.6422,1531.4,7.035,11.356,0
59.0,1.43,74.05,7.0349,1.6478,1514.7,6.939,11.36,0
60.0,1.71,73.8,7.0109,1.6609,1500.0,6.878,11.36,0
61.0,0.97,73.55,6.9871,1.6671,1500.0,6.79,11.363,0
62.0,0.34,73.3,6.9636,1.6798,1500.0,6.731,11.363,0
63.0,0.84,73.05,6.9398,1.7186,1500.0,6.778,11.351,0
64.0,1.67,72.8,6.9158,1.7703,1500.0,6.872,11.335,0
65.0,0.58,72.55,6.8921,1.7667,1500.0,6.753,11.341,0
66.0,1.45,72.3,6.8682,1.8183,1500.0,6.845,11.325,0
67.0,1.72,72.04,6.8441,1.8548,1500.0,6.878,11.315,0
68.0,1.61,71.79,6.8201,1.8786,1500.0,6.864,11.31,0
69.0,2.32,71.53,6.7957,1.9343,1500.0,6.965,11.292,0
70.0,2.46,71.28,6.7713,1.9687,1500.0,6.987,11.283,0
71.0,3.56,71.01,6.7461,2.0558,1500.0,7.194,11.254,0
72.0,2.96,70.75,6.7213,2.0499,1500.0,7.074,11.261,0
73.0,2.61,70.49,6.6968,2.0601,1500.0,7.011,11.261,0
74.0,2.9,70.23,6.6721,2.1038,1500.0,7.063,11.249,0
75.0,3.05,69.97,6.6472,2.1407,1500.0,7.091,11.24,0
76.0,4.24,69.7,6.6215,2.2485,1500.0,7.35,11.205,0
77.0,3.78,69.43,6.5962,2.2445,1500.0,7.242,11.21,0
78.0,4.34,69.16,6.5704,2.3155,1500.0,7.375,11.189,0
79.0,5.06,68.88,6.5438,2.4082,1500.0,7.574,11.16,0
80.0,4.64,68.61,6.5178,2.4002,1500.0,7.454,11.167,0
81.0,5.17,68.33,6.4911,2.4795,1500.0,7.605,11.143,0
82.0,4.71,68.05,6.465,2.4662,1500.0,7.472,11.152,0
83.0,5.39,67.77,6.4381,2.5639,1500.0,7.675,11.123,0
84.0,5.95,67.48,6.4106,2.6577,1500.0,7.861,11.095,0
85.0,6.74,67.18,6.3821,2.7904,1500.0,8.156,11.055,0
86.0,7.41,66.87,6.3525,2.9225,1500.0,8.443,11.016,0
87.0,7.08,66.56,6.3235,2.9056,1500.0,8.298,11.025,0
88.0,7.48,66.25,6.2938,3.0015,1500.0,8.474,10.998,0
89.0,7.68,65.94,6.2638,3.0687,1500.0,8.566,10.98,0
90.0,8.37,65.61,6.2327,3.2267,1500.0,8.907,10.934,0
91.0,8.49,65.28,6.2013,3.2852,1500.0,8.969,10.92,0
92.0,8.37,64.95,6.1701,3.2989,1500.0,8.909,10.92,0
93.0,7.91,64.63,6.1397,3.2465,1500.0,8.673,10.939,0
94.0,9.02,64.29,6.1073,3.5036,1500.0,9.26,10.865,0
95.0,8.89,63.95,6.0752,3.5127,1500.0,9.187,10.866,0
96.0,9.42,63.6,6.0419,3.6697,1500.0,9.497,10.823,0
97.0,8.87,63.26,6.0098,3.5842,1500.0,9.18,10.852,0
98.0,9.93,62.9,5.9754,3.8724,1500.0,9.817,10.771,0
99.0,8.81,62.56,5.9434,3.6433,1500.0,9.143,10.842,0
100.0,9.8,62.2,5.9094,3.9175,1500.0,9.733,10.767,0
101.0,9.05,61.86,5.8769,3.7341,1500.0,9.277,10.812,0
102.0,8.69,61.53,5.8451,3.6544,1500.0,9.079,10.828,0
103.0,8.33,61.2,5.814,3.5757,1500.0,8.884,10.844,0
104.0,8.73,60.87,5.7822,3.6624,1500.0,9.099,10.813,0
105.0,9.41,60.52,5.749,3.8201,1500.0,9.491,10.761,0
106.0,8.97,60.18,5.7166,3.7173,1500.0,9.235,10.784,0
107.0,8.76,59.84,5.6847,3.6682,1500.0,9.114,10.791,0
108.0,7.05,59.53,5.6557,3.3342,1500.0,8.284,10.88,0
109.0,8.4,59.21,5.6245,3.5908,1500.0,8.921,10.801,0
110.0,8.11,58.88,5.5938,3.5309,1500.0,8.772,10.813,0
111.0,7.32,58.57,5.5644,3.3821,1500.0,8.403,10.849,0
112.0,7.04,58.27,5.5354,3.3324,1500.0,8.279,10.858,0
113.0,7.09,57.96,5.5064,3.3412,1500.0,8.301,10.85,0
114.0,7.68,57.65,5.4764,3.4473,1500.0,8.565,10.814,0
115.0,6.0,57.36,5.4488,3.1712,1500.0,7.879,10.887,0
116.0,6.02,57.07,5.4212,3.1739,1500.0,7.885,10.881,0
117.0,6.61,56.77,5.3929,3.263,1500.0,8.107,10.851,0
118.0,5.4,56.48,5.366,3.0904,1500.0,7.678,10.894,0
119.0,5.13,56.2,5.3394,3.0568,1500.0,7.595,10.899,0
120.0,5.05,55.93,5.3129,3.0469,1500.0,7.57,10.897,0
121.0,4.07,55.66,5.2873,2.9414,1500.0,7.308,10.922,0
122.0,4.48,55.38,5.2614,2.9837,1500.0,7.413,10.906,0
123.0,3.46,55.12,5.2363,2.8869,1500.0,7.172,10.928,0
124.0,4.21,54.85,5.2106,2.9552,1500.0,7.342,10.905,0
125.0,3.47,54.58,5.1855,2.8877,1500.0,7.174,10.919,0
126.0,4.33,54.31,5.1597,2.9672,1500.0,7.372,10.893,0
127.0,3.05,54.05,5.1348,2.854,1500.0,7.091,10.92,0
128.0,3.33,53.79,5.1098,2.8762,1500.0,7.146,10.91,0
129.0,1.75,53.53,5.0857,2.7702,1500.0,6.883,10.936,0
130.0,2.11,53.28,5.0615,2.7905,1500.0,6.933,10.926,0
131.0,2.12,53.02,5.0372,2.7911,1500.0,6.934,10.922,0
132.0,2.64,52.76,5.0127,2.8241,1500.0,7.016,10.909,0
133.0,0.75,52.52,4.989,2.7242,1500.0,6.768,10.933,0
134.0,1.93,52.26,4.9648,2.7802,1500.0,6.907,10.913,0
135.0,1.6,52.01,4.9408,2.7624,1500.0,6.863,10.915,0
136.0,1.96,51.75,4.9166,2.7819,1500.0,6.912,10.905,0
137.0,1.47,51.5,4.8926,2.7557,1500.0,6.846,10.909,0
138.0,1.08,51.25,4.8688,2.7376,1500.0,6.801,10.91,0
139.0,0.75,51.0,4.8451,2.7243,1500.0,6.768,10.91,0
140.0,0.38,50.75,4.8216,2.7107,1500.0,6.735,10.911,0
141.0,1.11,50.5,4.7977,2.7391,1500.0,6.805,10.899,0
142.0,0.95,50.25,4.774,2.7324,1500.0,6.789,10.897,0
143.0,2.12,50.0,4.7497,2.7911,1500.0,6.935,10.877,0
144.0,0.89,49.75,4.726,2.7298,1500.0,6.782,10.891,0
145.0,1.46,49.49,4.702,2.7556,1500.0,6.846,10.88,0
146.0,0.65,49.25,4.6783,2.7205,1500.0,6.759,10.886,0
147.0,1.39,48.99,4.6544,2.752,1500.0,6.837,10.874,0
148.0,1.89,48.74,4.6303,2.7781,1500.0,6.902,10.863,0
149.0,2.37,48.48,4.6059,2.8065,1500.0,6.973,10.851,0
150.0,2.9,48.22,4.5811,2.8425,1500.0,7.062,10.838,0
151.0,2.38,47.97,4.5567,2.8072,1500.0,6.974,10.844,0
152.0,2.09,47.71,4.5325,2.7893,1500.0,6.93,10.845,0
153.0,3.14,47.45,4.5076,2.8608,1500.0,7.108,10.822,0
154.0,3.44,47.18,4.4825,2.8853,1500.0,7.169,10.811,0
155.0,3.72,46.92,4.4572,2.9089,1500.0,7.227,10.801,0
156.0,3.41,46.65,4.4321,2.8829,1500.0,7.163,10.804,0
157.0,4.63,46.38,4.4061,2.9996,1500.0,7.453,10.767,0
158.0,4.42,46.11,4.3802,2.9768,1500.0,7.396,10.77,0
159.0,5.04,45.83,4.3537,3.0454,1500.0,7.566,10.746,0
160.0,5.64,45.54,4.3266,3.1208,1500.0,7.754,10.72,0
161.0,5.62,45.26,4.2994,3.1184,1500.0,7.747,10.717,0
162.0,5.77,44.97,4.2721,3.1386,1500.0,7.798,10.707,0
163.0,7.01,44.67,4.2432,3.3278,1500.0,8.268,10.648,0
164.0,6.36,44.37,4.2152,3.2232,1500.0,8.008,10.674,0
165.0,6.38,44.07,4.1871,3.227,1500.0,8.017,10.668,0
166.0,6.87,43.77,4.1584,3.3046,1500.0,8.21,10.641,0
167.0,7.83,43.45,4.1282,3.4766,1500.0,8.637,10.586,0
168.0,7.41,43.14,4.0986,3.3978,1500.0,8.442,10.604,0
169.0,7.86,42.82,4.0683,3.4816,1500.0,8.65,10.575,0
170.0,8.43,42.5,4.0371,3.597,1500.0,8.937,10.535,0
171.0,7.79,42.18,4.0069,3.4677,1500.0,8.615,10.568,0
172.0,7.37,41.87,3.9774,3.3911,1500.0,8.425,10.586,0
173.0,8.56,41.54,3.9459,3.6256,1500.0,9.008,10.511,0
174.0,8.68,41.2,3.9141,3.6514,1500.0,9.072,10.498,0
175.0,8.39,40.87,3.8829,3.5896,1500.0,8.918,10.511,0
176.0,9.24,40.53,3.8501,3.7798,1500.0,9.391,10.447,0
177.0,9.19,40.18,3.8173,3.7687,1500.0,9.363,10.445,0
178.0,8.45,39.85,3.786,3.6027,1500.0,8.951,10.489,0
179.0,9.25,39.51,3.7531,3.7814,1500.0,9.395,10.428,1
