t,v_wind,bat_pct,e_kalan,e_pnr,mass,i_est,v_term,pnr
0.0,5.94,99.43,9.446,0.1243,2500.0,15.439,10.851,0
1.0,6.83,98.86,9.3912,0.1259,2483.3,15.635,10.826,0
2.0,7.29,98.28,9.3363,0.1263,2466.6,15.686,10.818,0
3.0,7.44,97.7,9.2817,0.1885,2449.9,15.614,10.825,0
4.0,6.66,97.14,9.2287,0.2438,2433.2,15.143,10.882,0
5.0,5.91,96.6,9.1772,0.2963,2416.5,14.723,10.931,0
6.0,6.99,96.05,9.1247,0.3622,2399.8,15.0,10.892,0
7.0,7.55,95.49,9.0718,0.4256,2383.1,15.106,10.874,0
8.0,8.34,94.93,9.0181,0.4943,2366.4,15.351,10.837,0
9.0,8.73,94.36,8.9641,0.5587,2349.7,15.423,10.822,0
10.0,8.41,93.8,8.9112,0.6084,2333.0,15.114,10.854,0
11.0,8.12,93.26,8.8593,0.6565,2316.3,14.827,10.882,0
12.0,7.47,92.73,8.8089,0.6947,2299.6,14.383,10.93,0
13.0,7.36,92.2,8.7593,0.7428,2282.9,14.196,10.945,0
14.0,7.56,91.68,8.7097,0.7974,2266.2,14.151,10.942,0
15.0,7.95,91.16,8.66,0.8575,2249.5,14.203,10.927,0
16.0,8.45,90.63,8.6099,0.9225,2232.8,14.324,10.902,0
17.0,8.26,90.11,8.5606,0.9641,2216.1,14.089,10.922,0
18.0,6.85,89.62,8.514,0.9639,2199.4,13.305,11.009,0
19.0,6.12,89.15,8.4689,0.9859,2182.7,12.892,11.049,0
20.0,6.27,88.67,8.424,1.0317,2166.0,12.816,11.049,0
21.0,5.83,88.21,8.3802,1.059,2149.3,12.528,11.074,0
22.0,6.64,87.74,8.3357,1.124,2132.6,12.694,11.044,0
23.0,6.84,87.28,8.2915,1.1703,2115.9,12.642,11.04,0
24.0,6.28,86.83,8.2485,1.1877,2099.2,12.295,11.072,0
25.0,4.87,86.39,8.2075,1.1778,2082.5,11.705,11.132,0
26.0,4.43,85.97,8.1674,1.1989,2065.8,11.456,11.152,0
27.0,4.3,85.56,8.1279,1.2273,2049.1,11.293,11.161,0
28.0,4.92,85.14,8.0882,1.2773,2032.4,11.333,11.147,0
29.0,4.6,84.73,8.0493,1.2976,2015.7,11.117,11.162,0
30.0,5.28,84.32,8.0102,1.3504,1999.0,11.183,11.144,0
31.0,3.89,83.92,7.9728,1.3331,1982.3,10.684,11.193,0
32.0,2.66,83.54,7.9367,1.3283,1965.6,10.313,11.227,0
33.0,2.99,83.17,7.9008,1.3609,1948.9,10.246,11.225,0
34.0,3.01,82.79,7.8654,1.3855,1932.2,10.124,11.23,0
35.0,4.38,82.41,7.8293,1.4514,1915.5,10.303,11.2,0
36.0,4.99,82.03,7.7931,1.4991,1898.8,10.345,11.185,0
37.0,4.49,81.66,7.7578,1.5019,1882.1,10.085,11.205,0
38.0,5.03,81.29,7.7224,1.5464,1865.4,10.111,11.193,0
39.0,3.77,80.93,7.6886,1.5168,1848.7,9.663,11.235,0
40.0,3.9,80.58,7.6551,1.541,1832.0,9.571,11.236,0
41.0,4.2,80.23,7.6218,1.5712,1815.3,9.521,11.233,0
42.0,5.23,79.87,7.5879,1.6374,1798.6,9.686,11.205,0
43.0,6.4,79.51,7.553,1.7247,1781.9,9.965,11.163,0
44.0,6.76,79.14,7.5181,1.7682,1765.2,9.984,11.151,0
45.0,6.49,78.78,7.4839,1.7676,1748.5,9.759,11.168,0
46.0,6.19,78.43,7.4505,1.7644,1731.8,9.53,11.185,0
47.0,5.96,78.08,7.4179,1.765,1715.1,9.33,11.198,0
48.0,5.94,77.74,7.3857,1.7782,1698.4,9.204,11.204,0
49.0,6.77,77.4,7.3528,1.8542,1681.7,9.402,11.172,0
50.0,7.72,77.04,7.3188,1.9524,1665.0,9.701,11.128,0
51.0,8.47,76.67,7.284,2.044,1648.3,9.958,11.089,0
52.0,7.91,76.32,7.2505,2.0005,1631.6,9.558,11.126,0
53.0,8.38,75.96,7.2166,2.0662,1614.9,9.686,11.102,0
54.0,6.79,75.64,7.1857,1.9204,1598.2,8.836,11.19,0
55.0,6.9,75.32,7.155,1.9409,1581.5,8.768,11.189,0
56.0,8.31,74.97,7.1224,2.0974,1564.8,9.305,11.119,0
57.0,9.18,74.62,7.0886,2.2201,1548.1,9.677,11.067,0
58.0,8.92,74.27,7.0556,2.198,1531.4,9.415,11.088,0
59.0,8.54,73.93,7.0238,2.159,1514.7,9.092,11.116,0
60.0,7.96,73.61,6.9933,2.1005,1500.0,8.698,11.153,0
61.0,6.76,73.31,6.9648,2.0045,1500.0,8.164,11.205,0
62.0,6.19,73.02,6.937,1.9833,1500.0,7.947,11.222,0
63.0,6.96,72.72,6.9081,2.0915,1500.0,8.248,11.18,0
64.0,7.95,72.4,6.8777,2.2392,1500.0,8.693,11.122,0
